Group,Category,Type,Brand,Texture,Color,Thickness,Size,MinStockQty,IndUoM,PackUoM,PackQty
Consumables,Finishing Materials,white foam tape,,,,,,,pieces,,
Paper,Sticker,reflective sticker,,,,225microns,,,roll,,
Paper,Special Paper,burano,,,light blue,200gsm,37.5x39.3,,sheet,,
Paper,Special Paper,Color Plus,,,Amarillio Medio,80gsm,25.59x35.43,,sheet,,
Paper,Special Paper,Color Plus,,,Rosa,80gsm,25.59x35.43,,sheet,,
Paper,Special Paper,Color Plus,,,Azul,80gsm,25.59x35.43,,sheet,,
Paper,Newsprint Paper,,Newsprint,,Triplex white,,36x18,,sheet,ream,480
Consumables,Films and Plates,CTP Plate,GTO,,,,400x510,,piece,box,50
Consumables,Maintenance Materials,Dishwashing Liquid,,,,,,,bottle,,
Consumables,Chemicals,wipe out Cleaner,,,,,,,can,,
Consumables,Ink,HP toner,831B CZ689A,,CYAN,,,,piece,box,1
Consumables,Ink,HP TONER,831B CZ691A,,YELLOW,,,,piece,box,1
Consumables,Ink,HP Toner,831B CZ690A,,MAgenta,,,,piece,box,1
Consumables,Ink,HP Toner,831B CZ688A,,Black,,,,piece,box,1
Paper,Special Paper,venus linen,,,white,220gsm,31x43,,sheet,,
Consumables,Chemicals,Gear oil,SAE-90,,,,Liter,,bottle,,
Consumables,Films and Plates,CTP Plate,Korse,,,,620x745,,pieces,box,50
Consumables,Films and Plates,acetate,,,,,,,roll,,
Machine and Parts,SORMZ Machine/Parts,wheel bearing SORMZ,NSK,,,,,,pieces,1,1
Office Supplies,Stationary and Supplies,image pen remover,,,,,,,piece,,
Paper,Board,eska board,,,,1195gsm,26x38,,sheet,ream,100
Paper,Envelope,kraft,envelope trojan,,brown,#150,7x10,,pcs,box,500
Paper,Board,chip,triplex,,gray,#50,26x38,,sheet,bale,250
Paper,Special Paper,Econotext,Fancy,,soft white,#100gsm,,,sheet,ream,1000
Paper,Envelope,kraft,envelope,,brown,,10x13,,piece,box,500
Paper,Special Paper,Color plus,,,Rojo,80gsm,25.59x35.43,,sheet,,
Paper,Special Paper,Edicion,,,Natural white,240gsm,26x40,,sheet,,
Paper,Special Paper,Bevania splendorgel ivory,,,white,170gsm,28x39.3,,sheet,,
Paper,Special Paper,Century Cotton wove,,,premium white,220gsm,28x39.75,,sheet,,
Consumables,Maintenance Materials,kanebo,chamois towel,,,,,,pieces,pack,1
Paper,Special Paper,matt coated,triplexx,,white,#100,25x38,,sheet,ream,500
Consumables,Chemicals,Hydraulic oil,S2MX 68 Tellus,,,,,,pieces,pail,1
Office Supplies,Stationary and Supplies,Clearbook,,,,,long,,piece,,
Paper,Sticker,hexis ecotac matte sticker,,,dark gray,,,,roll,,
Paper,Sticker,hexis ecotac matte sticker,,,light green,,,,roll,,
Paper,Sticker,exceed blackboard sticker,,,black,,50x30mm,,roll,,
Others,Miscellaneous,sako,,,,,big,,piece,,
Office Supplies,Stationary and Supplies,expandable folder,,,,,long,,piece,,
Consumables,Chemicals,Grasa,,,,,,,can,,
Consumables,Finishing Materials,,Duct tape cloth,,,,,,roll,,
Paper,Sticker,Exceed vinyl,,,glossy,,54x30,,roll,box,1
Paper,Envelope,kraft,trojan documentary,,golden brown,#200,9x12,,piece,box,500
Paper,Envelope,kraft,trojan catalog,,golden brown,#150,9x12,,piece,box,500
Consumables,Maintenance Materials,sponge,scotch brite,,,,,,piece,pack,1
Paper,Special Paper,Parchment Paper,,,,#60,25x38,,sheet,pack,1000
Office Supplies,Stationary and Supplies,Ring binder,,,,,Medium,,piece,pack,5
Paper,Special Paper,imitlin,,,blu notte,125gsm,40x28.3,,sheet,,
Consumables,Maintenance Materials,Mop with Handle,,,,,,,piece,,
